Timestamp,Role,Message
"10:15, 15.9.2023",Forscher,"Hallo und herzlich willkommen! Ich bin Mila, dein Lerncoaching Chatbot. Es ist mir eine Freude, dich auf deiner individuellen Lernreise zu unterstützen."
"10:16, 15.9.2023",Teilnehmende Person,Hausarbeiten schreiben unter Zeitdruck
"10:17, 15.9.2023",Forscher,"Verstehe ich das richtig, du möchtest über das Thema Hausarbeiten unter Zeitdruck sprechen? Bist du bereits in einer solchen Situation gewesen?"
"10:17, 15.9.2023",Teilnehmende Person,Ja. Jedes Semester
"10:18, 15.9.2023",Forscher,Was tust du normalerweise in solchen Situationen?
"10:19, 15.9.2023",Teilnehmende Person,"Stress, Frust darüber nicht früher angefangen zu haben."
"10:19, 15.9.2023",Forscher,"Verstehe, du ärgerst dich über dich selbst und musst länger arbeiten."
"10:20, 15.9.2023",Teilnehmende Person,Genau so ist es
"10:20, 15.9.2023",Forscher,"Hattest du schon einmal eine Situation, in der du dem Problem entkommen konntest?"
"10:21, 15.9.2023",Teilnehmende Person,"Öfters schon, ja"
"10:21, 15.9.2023",Forscher,Was hat in einer solchen Situation den Unterschied gemacht?
"10:21, 15.9.2023",Teilnehmende Person,"Verlängerungen der Abgabefrist, exzessive Arbeitssessions oder einfach nicht Abgabe der Arbeit"
"10:22, 15.9.2023",Forscher,"Verstehe. Wie hast du dich gefühlt, wenn du solche Lösungen angewendet hast?"
"10:23, 15.9.2023",Teilnehmende Person,Je nach Dozent*in unangenehm beim erfragen nach einer Verlängerung.
"10:24, 15.9.2023",Forscher,"Kann man das auch als Stärke betrachten, wenn man sich traut nachzufragen und dies als Ressource nutzt?"
"10:25, 15.9.2023",Teilnehmende Person,"Ja, doch, ich glaube schon"
"10:25, 15.9.2023",Forscher,"Wenn morgen eine gute Fee erscheinen würde und du einen Wunsch bezüglich deiner Hausarbeiten hättest, was würdest du ändern?"
"10:25, 15.9.2023",Teilnehmende Person,Strukturierteres Arbeiten und besseres Zeitmanagement
"10:26, 15.9.2023",Forscher,"Ich verstehe, für dich ist strukturiertes Arbeiten und Zeitmanagement wichtig."
"10:26, 15.9.2023",Teilnehmende Person,9
"10:27, 15.9.2023",Forscher,"Also eine 9. Wie ich sehe, ist das Thema wichtig für dich. Ist es für dich in Ordnung, wenn wir auf Basis dieses Themas ein konkretes Ziel für dich formulieren?"
"10:27, 15.9.2023",Teilnehmende Person,"Klar, gerne"
"10:27, 15.9.2023",Forscher,"Ich möchte nun mit dir ein Ziel formulieren. Zielformulierung im Lerncoaching bietet Klarheit, fördert die Motivation und ermöglicht eine messbare Überwachung des Fortschritts. "
"10:27, 15.9.2023",Teilnehmende Person,"Ja, voll"
"10:27, 15.9.2023",Forscher,"Super! Um ein Ziel genau formulieren zu können möchte ich mit dir die SMART – Regel verwenden. SMART ist ein Akronym und steht für: Spezifisch, Messbar, Anspruchsvoll/Attraktiv, Realistisch und Terminiert. Lass uns die einzelnen Schritte einmal gemeinsam durchgehen."
"10:27, 15.9.2023",Forscher,1.	Was genau möchtest du in deinen eigenen Worten erreichen?
"10:29, 15.9.2023",Teilnehmende Person,"Ich möchte früher damit beginnen, meine Hausarbeiten anzufertigen und diese nacheinander und ohne Zeitdruck finalisieren. Zeitdruck soll nicht als nötige Motivation dienen"
"10:29, 15.9.2023",Forscher,"2.	Woran würdest du merken, dass du dein Ziel erreicht hast?"
"10:30, 15.9.2023",Teilnehmende Person,"Weniger Stress, Frust und schlechtes Gewissen. Außerdem wäre ich dann körperlich und geistig nicht so ausgelaugt"
"10:30, 15.9.2023",Forscher,"Ich verstehe, spielen diese Faktoren auch eine Rolle bei der Bedeutung des Ziels?"
"10:31, 15.9.2023",Teilnehmende Person,Ja
"10:31, 15.9.2023",Forscher,5.	Bis wann möchtest du dein Ziel erreicht haben?
