Timestamp,Role,Message
"11:36, 15.9.2023",Forscher,"Hallo und herzlich willkommen! Ich bin Mila, dein Lerncoaching Chatbot. Es ist mir eine Freude, dich auf deiner individuellen Lernreise zu unterstützen."
"11:41, 15.9.2023",Teilnehmende Person,"Da der Stoff sehr umfangreich ist und Aufgaben beinhaltet, weiß ich nicht, wie ich vorgehen soll. Zu jedem Kapitel im Anschluss die Aufgaben bearbeiten oder zunächst den gesamten Stoff durchgehen?"
"11:42, 15.9.2023",Forscher,"Ich verstehe, der Kurs ist also sehr umfangreich. Du fragst dich, wie du am besten vorgehen könntest, richtig?"
"11:42, 15.9.2023",Teilnehmende Person,Genau
"11:43, 15.9.2023",Forscher,Gab es in der Vergangenheit solche Situationen schon?
"11:43, 15.9.2023",Teilnehmende Person,Ja
"11:43, 15.9.2023",Forscher,Wie bist du zu der Zeit vorgegangen?
"11:44, 15.9.2023",Teilnehmende Person,Ich habe eine Zusammenfassung geschrieben und versucht komplett auswendig zu lernen
"11:44, 15.9.2023",Forscher,Warst du mit der Vorgehensweise zufrieden?
"11:44, 15.9.2023",Teilnehmende Person,"Nicht wirklich, da ich teilweise den Überblick verloren habe"
"11:45, 15.9.2023",Forscher,"Was müsste sich ändern, damit das nicht mehr passiert?"
"11:46, 15.9.2023",Teilnehmende Person,"Den Stoff vermutlich besser unterteilen und strukturieren, sowohl inhaltlich als auch vom Lernmaterial?"
"11:47, 15.9.2023",Forscher,"Ich verstehe, du denkst, es wäre besser, den Inhalt besser zu strukturieren?"
"11:47, 15.9.2023",Teilnehmende Person,Ja
"11:47, 15.9.2023",Forscher,"Wie fühlt es sich an, wenn du darüber nachdenkst, den Stoff besser zusammenzufassen? Ist das realistisch?"
"11:48, 15.9.2023",Teilnehmende Person,"Ja, wenn ich genug Zeit habe"
"11:48, 15.9.2023",Forscher,Wie schätzt du deine Zeit für den Kurs ein?
"11:50, 15.9.2023",Teilnehmende Person,"Vermutlich weniger, als ich brauchen werde"
"11:51, 15.9.2023",Forscher,"Wenn morgen eine gute Fee käme und dir einen Wunsch bezüglich des Kurses erfüllen würde, was würde sich verändern?"
"11:52, 15.9.2023",Teilnehmende Person,Dass der Stoff eingeschränkt wird
"11:53, 15.9.2023",Forscher,"Gibt es eine Möglichkeit, dies mithilfe von Priorisierungen des Stoffes für dich umzusetzen?"
"11:54, 15.9.2023",Teilnehmende Person,Das kann ich leider nicht einschätzen
"11:54, 15.9.2023",Forscher,"Wenn du einen Kommiltionen oder Komilitonnin fragen würdest, wie würden die mit so einem Problem umgehen?"
"11:55, 15.9.2023",Teilnehmende Person,Sie würden beim Lernen Lücken lassen oder mehr Zeit einplanen
"11:56, 15.9.2023",Forscher,Was denkst du über solche Methoden?
"11:56, 15.9.2023",Teilnehmende Person,Für mehr Sicherheit würde ich mir mehr Zeit einplanen
"11:57, 15.9.2023",Forscher,"Ich verstehe, du würdest also mehr Zeit einplanen."
"11:57, 15.9.2023",Teilnehmende Person,Ja genau
