Timestamp,Role,Message
"13:44, 20.9.2023",Forscher,"Hallo und herzlich willkommen! Ich bin Mila, dein Lerncoaching Chatbot. Es ist mir eine Freude, dich auf deiner individuellen Lernreise zu unterstützen. Ich stehe für Hilfe zur Selbsthilfe. Wir werden also nicht vorgefertigte Lösungen durchgehen, sondern ich werde dich dazu ermutigen, deine eigenen Antworten zu finden. Ich bin eine Art Trainer. So wie im Sport stehe ich als Coach am Rand des Spielfeldes, der Sportler bist Du. Du machst Dein Spiel, und wir schauen darauf, was Du verbessern kannst und wie Du es verbessern kannst. Unsere gemeinsame Arbeit ist in fünf Phasen unterteilt, durch die wir Schritt für Schritt gehen werden. Solltest du währenddessen Fragen haben oder auf Probleme stoßen, wende dich gerne an den zuständigen Betreuer. Bereit? Dann lass uns beginnen. Zunächst wollen wir uns über deine Erwartungen und Ziele austauschen. Möchtest du etwas bezüglich deines bevorstehenden Kurses besprechen, oder gibt es andere Fragen oder Anliegen, die du gerne ansprechen möchtest?"
"13:45, 20.9.2023",Teilnehmende Person,Ich möchte meine Hausarbeit gut schreiben
"13:46, 20.9.2023",Forscher,Du möchtest also deine Hausarbeit gut schreiben. Was heißt für dich gut?
"13:46, 20.9.2023",Teilnehmende Person,"Ich möchte minderstens eine gute Note haben. Also minderstens 2,3"
"13:47, 20.9.2023",Forscher,"Hast du in der Vergangenheit bereits Hausarbeiten verfasst, bei denen das Ergebnis für dich zufriedenstellend war?"
"13:47, 20.9.2023",Teilnehmende Person,Ja
"13:47, 20.9.2023",Forscher,Wie bist du damals vorgegangen?
"13:48, 20.9.2023",Teilnehmende Person,"Ich habe eine sehr genaue Recherche betrieben und erst angefangen zu schreiben, als ich zu jedem Gliederungspunkt was hatte"
"13:49, 20.9.2023",Forscher,"Ich sehe, du hast dich sehr gut vorbereitet. Kannst du das dieses Mal erneut so umsetzen?"
"13:49, 20.9.2023",Teilnehmende Person,Nicht ganz so. Weil ich jetzt weniger Zeit habe
"13:50, 20.9.2023",Forscher,"Ich verstehe, dass du derzeit weniger Zeit hast."
"13:50, 20.9.2023",Teilnehmende Person,Ja genau. Ich habe weniger Zeit bis zur Abgabe. Und auch weniger Motivation
"13:51, 20.9.2023",Forscher,Ich verstehe. Warum fühlst du dich dieses Mal etwas weniger motiviert?
"13:52, 20.9.2023",Teilnehmende Person,"Weil ich die Hausarbeit wiederhole um eine bessere Note zu bekommen. Ich brauche es also nicht unbedingt. Außerdem hab ich das ganze Semester nicht so viel gemacht, weil ich mich von meinen letzten Semestern erholt habe. Und jetzt ist es schwer wieder anzufangen"
"13:54, 20.9.2023",Forscher,"Verstanden, das bedeutet, du musst die Hausarbeit nicht zwingend erledigen, und du hast dich im letzten Semester etwas erholt. Es fällt dir schwer, wieder damit anzufangen. Was könnte ein erster Schritt sein?"
"13:54, 20.9.2023",Teilnehmende Person,In die Bibliothek gehen
"13:55, 20.9.2023",Forscher,"Wie fühlst du dich bei dem Gedanken, in die Bibliothek zu gehen?"
"13:55, 20.9.2023",Teilnehmende Person,Ganz ok
"13:55, 20.9.2023",Forscher,"Stell dir vor, du hast die Hausarbeit abgegeben und eine sehr gute Note erhalten. Wie würde sich das anfühlen?"
"13:56, 20.9.2023",Teilnehmende Person,Gut
"13:56, 20.9.2023",Forscher,"Auf einer Skala von 1 bis 10, wie wichtig ist dieses Thema bezüglich der Hausarbeit für dich?"
"13:57, 20.9.2023",Teilnehmende Person,3
"13:57, 20.9.2023",Forscher,"Also eine 3. Wie ich sehe, ist das Thema von Bedeutung für dich, es gibt dir aber keine Kopfschmerzen. Ist es für dich in Ordnung, wenn wir auf Basis dieses Themas ein konkretes Ziel für dich formulieren?"
"13:58, 20.9.2023",Teilnehmende Person,Ja
"13:58, 20.9.2023",Forscher,"Ich möchte nun mit dir ein Ziel formulieren. Zielformulierung im Lerncoaching bietet Klarheit, fördert die Motivation und ermöglicht eine messbare Überwachung des Fortschritts.  Hört sich das gut an?"
"13:58, 20.9.2023",Teilnehmende Person,Ja
"13:58, 20.9.2023",Forscher,"Super! Um ein Ziel genau formulieren zu können möchte ich mit dir die SMART – Regel verwenden. SMART ist ein Akronym und steht für: Spezifisch, Messbar, Anspruchsvoll/Attraktiv, Realistisch und Terminiert. Lass uns die einzelnen Schritte einmal gemeinsam durchgehen."
"13:58, 20.9.2023",Forscher,1.	Was genau möchtest du in deinen eigenen Worten erreichen?
"13:59, 20.9.2023",Teilnehmende Person,Ich möchte ein gute Arbeit in kurzer Zeit schreiben
"13:59, 20.9.2023",Forscher,"2.	Woran würdest du merken, dass du dein Ziel erreicht hast?"
"14:00, 20.9.2023",Teilnehmende Person,Wenn ich zum einen die Arbeit Abgebe und zum anderen eine gute Note bekomme
"14:00, 20.9.2023",Forscher,3.	Warum ist dieses Ziel wichtig für dich?
"14:00, 20.9.2023",Teilnehmende Person,Damit ich eine bessere Abschlussnote habe
"14:00, 20.9.2023",Forscher,4.	Ist das Ziel realistisch für dich?
"14:00, 20.9.2023",Teilnehmende Person,Ja
"14:00, 20.9.2023",Forscher,5.	Bis wann möchtest du dein Ziel erreicht haben?
"14:00, 20.9.2023",Teilnehmende Person,30.9
"14:00, 20.9.2023",Forscher,"Vielen Dank für deine Antworten! Lass uns nun die gesammelten Informationen in einem oder maximal zwei Sätzen zusammenfassen. Hier ist ein Beispiel für dich:  Innerhalb der nächsten sechs Monate strebe ich an, durch regelmäßiges Üben und basierend auf meinen Grundkenntnissen (spezifisch), einen fließenden fünfminütigen Vortrag auf Spanisch zu halten (messbar), um im nächsten Urlaub in Spanien selbstbewusst kommunizieren zu können (anspruchsvoll und attraktiv), mit der Grundlage meiner aktuellen Kenntnisse (realistisch). Bitte schreibe nun dein eigenes konkretes SMARTes Ziel auf. Wenn du Unterstützung brauchst, kannst du dies gerne äußern."
"14:02, 20.9.2023",Teilnehmende Person,"In den nächsten 10 Tagen, möchte ich durch regelmäßiges recherchieren und schreiben meine Hausarbeit fertig schreiben und eine minderstens gute Leistung erbringen"
"14:03, 20.9.2023",Forscher,Vielen Dank. Was genau versteht für dich unter regelmäßiger Recherche?
"14:03, 20.9.2023",Teilnehmende Person,Einfach jeden Tag für ein paar stunden was machen
"14:03, 20.9.2023",Forscher,"Prima! Ich danke dir für deine aktive Mitarbeit. Zum Abschluss besprechen wir gemeinsam, wie du dein definiertes Ziel in die Praxis umsetzen kannst. Wie kannst du dein formuliertes Ziel im Alltag umsetzen? Du hast bereits die Bibliothek erwähnt. Welche ersten Schritte könntest du unternehmen, um dich zu motivieren, dorthin zu gehen?"
"14:04, 20.9.2023",Teilnehmende Person,Mit Freunden gemeinsam  hingehen und to Do Listen schreiben
"14:05, 20.9.2023",Forscher,"Also, gemeinsam mit Freunden arbeiten und To-Do-Listen erstellen."
"14:05, 20.9.2023",Teilnehmende Person,Ja
"14:05, 20.9.2023",Forscher,"Wenn du auf Probleme stößt, wie zum Beispiel Schwierigkeiten bei der Recherche, wie könntest du diese lösen, um dein Ziel zu erreichen?"
"14:06, 20.9.2023",Teilnehmende Person,Die Dozentin oder die schreibberatung fragen
"14:07, 20.9.2023",Forscher,"Vielen Dank für deine Lösungsvorschläge. Ich wünsche dir viel Erfolg bei der Umsetzung deines Zieles! Zum Schluss möchte ich unsere gemeinsame Arbeit zusammenfassen. Wir haben gemeinsam dein Anliegen herausgefunden und so dein persönliches Ziel formuliert: „In den nächsten 10 Tagen, möchte ich durch regelmäßiges recherchieren und schreiben meine Hausarbeit fertig schreiben und eine minderstens gute Leistung erbringen“. Auf Basis dieses Zieles hast du schon Ideen präsentiert, wie man das Ziel im Alltag umsetzen kann. Hast du zum Abschluss noch einen Wunsch oder Feedback an mich?"
"14:07, 20.9.2023",Teilnehmende Person,Nein
"14:07, 20.9.2023",Forscher,Wende dich nun an den Betreuer.
